Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
LAB4_VuongMinhNgoc,Chrome 123.0.0.0,,,25-03-2024 16:45:17,25-03-2024 16:46:13,55.834s,PASSED
,,,,,,,
Test Cases/LAB4_MinhNgoc,Chrome 123.0.0.0,,,25-03-2024 16:45:18,25-03-2024 16:45:27,9.661s,PASSED
"openBrowser("""")",Chrome 123.0.0.0,,,25-03-2024 16:45:18,25-03-2024 16:45:21,2.902s,PASSED
"navigateToUrl(""https://www.saucedemo.com/"")",Chrome 123.0.0.0,,,25-03-2024 16:45:21,25-03-2024 16:45:22,0.640s,PASSED
"setText(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_user-name""), Username)",Chrome 123.0.0.0,,,25-03-2024 16:45:22,25-03-2024 16:45:25,2.931s,PASSED
"setText(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_password""), Pass)",Chrome 123.0.0.0,,,25-03-2024 16:45:25,25-03-2024 16:45:25,0.745s,PASSED
"click(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_login-button""))",Chrome 123.0.0.0,,,25-03-2024 16:45:25,25-03-2024 16:45:26,0.436s,PASSED
"if (verifyElementPresent(findTestObject(""Page_Swag Labs/AlertBox""), 0, OPTIONAL))",Chrome 123.0.0.0,,,25-03-2024 16:45:26,25-03-2024 16:45:26,0.195s,PASSED
delay(1),Chrome 123.0.0.0,,,25-03-2024 16:45:26,25-03-2024 16:45:27,1.051s,PASSED
closeBrowser(),Chrome 123.0.0.0,,,25-03-2024 16:45:27,25-03-2024 16:45:27,0.294s,PASSED
,,,,,,,
Test Cases/LAB4_MinhNgoc,Chrome 123.0.0.0,,,25-03-2024 16:45:27,25-03-2024 16:45:35,7.847s,PASSED
"openBrowser("""")",Chrome 123.0.0.0,,,25-03-2024 16:45:27,25-03-2024 16:45:29,1.717s,PASSED
"navigateToUrl(""https://www.saucedemo.com/"")",Chrome 123.0.0.0,,,25-03-2024 16:45:29,25-03-2024 16:45:30,0.953s,PASSED
"setText(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_user-name""), Username)",Chrome 123.0.0.0,,,25-03-2024 16:45:30,25-03-2024 16:45:33,2.693s,PASSED
